"dive number","date","time","sample time (min)","sample depth (m)","sample temperature (C)","sample pressure (bar)","sample heartrate"
"","2025-09-08","10:57:23","0:00","1.98","19.1",,
"","2025-09-08","10:57:23","0:02","1.58",,,
"","2025-09-08","10:57:23","0:03","1.28",,,
"","2025-09-08","10:57:23","0:10","0.07",,,
"","2025-09-08","10:57:23","0:56","0.4",,,
"","2025-09-08","10:57:23","0:59","0.79",,,
"","2025-09-08","10:57:23","1:03","1.03",,,
"","2025-09-08","10:57:23","1:04","1.09",,,
"","2025-09-08","10:57:23","1:09","0.74",,,
"","2025-09-08","10:57:23","1:12","0.43",,,
"","2025-09-08","10:57:23","1:14","0.13",,,
"","2025-09-08","10:57:23","1:24","0.45",,,
"","2025-09-08","10:57:23","2:03","0.84",,,
"","2025-09-08","10:57:23","2:05","0.86","19.2",,
"","2025-09-08","10:57:23","2:06","1.26",,,
"","2025-09-08","10:57:23","2:07","1.69",,,
"","2025-09-08","10:57:23","2:08","2.09",,,
"","2025-09-08","10:57:23","3:03","2.017",,,
"","2025-09-08","10:57:23","3:08","2.01",,,
"","2025-09-08","10:57:23","4:03","2.01",,,
"","2025-09-08","10:57:23","4:08","2.01",,,
"","2025-09-08","10:57:23","5:03","2.001",,,
"","2025-09-08","10:57:23","5:08","2","19.1",,
"","2025-09-08","10:57:23","5:10","2",,,
"","2025-09-08","10:57:23","6:03","2.009",,,
"","2025-09-08","10:57:23","6:08","2.01","19.2",,
"","2025-09-08","10:57:23","7:03","2.001",,,
"","2025-09-08","10:57:23","7:08","2",,,
"","2025-09-08","10:57:23","7:12","2.55",,,
"","2025-09-08","10:57:23","7:13","3.54",,,
"","2025-09-08","10:57:23","7:14","4.81",,,
"","2025-09-08","10:57:23","7:15","6.14",,,
"","2025-09-08","10:57:23","7:16","7.23",,,
"","2025-09-08","10:57:23","7:17","8.16",,,
"","2025-09-08","10:57:23","7:18","8.82",,,
"","2025-09-08","10:57:23","7:19","9.26",,,
"","2025-09-08","10:57:23","7:20","9.52",,,
"","2025-09-08","10:57:23","7:21","9.65",,,
"","2025-09-08","10:57:23","7:22","9.7",,,
"","2025-09-08","10:57:23","7:23","9.72",,,
"","2025-09-08","10:57:23","7:24","9.73",,,
"","2025-09-08","10:57:23","7:25","9.74","19.1",,
"","2025-09-08","10:57:23","7:29","9.75","19.2",,
"","2025-09-08","10:57:23","7:50","9.76",,,
"","2025-09-08","10:57:23","8:03","9.76",,,
"","2025-09-08","10:57:23","8:50","9.76",,,
"","2025-09-08","10:57:23","9:03","9.76",,,
"","2025-09-08","10:57:23","9:50","9.76",,,
"","2025-09-08","10:57:23","10:03","9.76",,,
"","2025-09-08","10:57:23","10:10","9.76",,,
"","2025-09-08","10:57:23","10:50","9.76",,,
"","2025-09-08","10:57:23","11:03","9.79",,,
"","2025-09-08","10:57:23","11:12","9.81",,,
"","2025-09-08","10:57:23","11:13","10.78",,,
"","2025-09-08","10:57:23","11:14","12.49",,,
"","2025-09-08","10:57:23","11:15","14.26",,,
"","2025-09-08","10:57:23","11:16","15.91",,,
"","2025-09-08","10:57:23","11:17","17.28",,,
"","2025-09-08","10:57:23","11:18","18.25",,,
"","2025-09-08","10:57:23","11:19","18.79",,,
"","2025-09-08","10:57:23","11:20","19.26",,,
"","2025-09-08","10:57:23","11:21","19.5",,,
"","2025-09-08","10:57:23","11:22","19.57",,,
"","2025-09-08","10:57:23","11:23","19.59",,,
"","2025-09-08","10:57:23","11:24","19.6",,,
"","2025-09-08","10:57:23","11:26","19.61",,,
"","2025-09-08","10:57:23","11:30","19.62",,,
"","2025-09-08","10:57:23","11:38","19.63",,,
"","2025-09-08","10:57:23","11:49","19.64",,,
"","2025-09-08","10:57:23","12:03","19.646",,,
"","2025-09-08","10:57:23","12:11","19.65",,,
"","2025-09-08","10:57:23","13:03","19.65",,,
"","2025-09-08","10:57:23","13:11","19.65",,,
"","2025-09-08","10:57:23","13:42","19.66","19.3",,
"","2025-09-08","10:57:23","14:03","19.66",,,
"","2025-09-08","10:57:23","14:42","19.66",,,
"","2025-09-08","10:57:23","15:03","19.927",,,
"","2025-09-08","10:57:23","15:10","20.016",,,
"","2025-09-08","10:57:23","15:15","20.08",,,
"","2025-09-08","10:57:23","15:16","21.57",,,
"","2025-09-08","10:57:23","15:17","23.08",,,
"","2025-09-08","10:57:23","15:18","24.62",,,
"","2025-09-08","10:57:23","15:19","26.2",,,
"","2025-09-08","10:57:23","15:20","27.62",,,
"","2025-09-08","10:57:23","15:21","28.39",,,
"","2025-09-08","10:57:23","15:22","28.85",,,
"","2025-09-08","10:57:23","15:23","29.31",,,
"","2025-09-08","10:57:23","15:24","29.54",,,
"","2025-09-08","10:57:23","15:25","29.57",,,
"","2025-09-08","10:57:23","15:26","29.58",,,
"","2025-09-08","10:57:23","15:27","29.59",,,
"","2025-09-08","10:57:23","15:28","29.6",,,
"","2025-09-08","10:57:23","15:31","29.61",,,
"","2025-09-08","10:57:23","15:36","29.62",,,
"","2025-09-08","10:57:23","15:44","29.63",,,
"","2025-09-08","10:57:23","16:00","29.64","19.2",,
"","2025-09-08","10:57:23","16:03","29.641",,,
"","2025-09-08","10:57:23","16:26","29.65","19.3",,
"","2025-09-08","10:57:23","17:03","29.65",,,
"","2025-09-08","10:57:23","17:26","29.65",,,
"","2025-09-08","10:57:23","17:30","29.66",,,
"","2025-09-08","10:57:23","18:03","29.66",,,
"","2025-09-08","10:57:23","18:30","29.66",,,
"","2025-09-08","10:57:23","19:03","29.674",,,
"","2025-09-08","10:57:23","19:16","29.68",,,
"","2025-09-08","10:57:23","19:17","30.77",,,
"","2025-09-08","10:57:23","19:18","32.23",,,
"","2025-09-08","10:57:23","19:19","33.77",,,
"","2025-09-08","10:57:23","19:20","35.23",,,
"","2025-09-08","10:57:23","19:21","36.77",,,
"","2025-09-08","10:57:23","19:22","38.03",,,
"","2025-09-08","10:57:23","19:23","38.58",,,
"","2025-09-08","10:57:23","19:24","38.87",,,
"","2025-09-08","10:57:23","19:25","39.1",,,
"","2025-09-08","10:57:23","19:26","39.45",,,
"","2025-09-08","10:57:23","19:28","39.58",,,
"","2025-09-08","10:57:23","19:31","39.59",,,
"","2025-09-08","10:57:23","19:33","39.6",,,
"","2025-09-08","10:57:23","19:36","39.61",,,
"","2025-09-08","10:57:23","19:47","39.62",,,
"","2025-09-08","10:57:23","20:03","39.627",,,
"","2025-09-08","10:57:23","20:10","39.63",,,
"","2025-09-08","10:57:23","20:54","39.64",,,
"","2025-09-08","10:57:23","21:03","39.64",,,
"","2025-09-08","10:57:23","21:54","39.64",,,
"","2025-09-08","10:57:23","22:03","39.64",,,
"","2025-09-08","10:57:23","22:54","39.64","19.4",,
"","2025-09-08","10:57:23","23:03","39.645",,,
"","2025-09-08","10:57:23","23:11","39.65","19.3",,
"","2025-09-08","10:57:23","23:19","39.97",,,
"","2025-09-08","10:57:23","23:20","41.75",,,
"","2025-09-08","10:57:23","23:21","43.4",,,
"","2025-09-08","10:57:23","23:22","44.97",,,
"","2025-09-08","10:57:23","23:23","46.53",,,
"","2025-09-08","10:57:23","23:24","48.06",,,
"","2025-09-08","10:57:23","23:25","49.25",,,
"","2025-09-08","10:57:23","23:26","49.83",,,
"","2025-09-08","10:57:23","23:27","49.92",,,
"","2025-09-08","10:57:23","23:30","49.6",,,
"","2025-09-08","10:57:23","24:03","49.6",,,
"","2025-09-08","10:57:23","24:30","49.6",,,
"","2025-09-08","10:57:23","25:03","49.606",,,
"","2025-09-08","10:57:23","25:10","49.607",,,
"","2025-09-08","10:57:23","25:30","49.61","19.4",,
"","2025-09-08","10:57:23","26:03","49.61",,,
"","2025-09-08","10:57:23","26:30","49.61","19.3",,
"","2025-09-08","10:57:23","27:03","50.309",,,
"","2025-09-08","10:57:23","27:21","50.69","19.4",,
"","2025-09-08","10:57:23","27:22","52.47",,,
"","2025-09-08","10:57:23","27:23","53.89",,,
"","2025-09-08","10:57:23","27:25","55.25",,,
"","2025-09-08","10:57:23","27:26","56.57",,,
"","2025-09-08","10:57:23","27:27","57.92",,,
"","2025-09-08","10:57:23","27:28","59.01",,,
"","2025-09-08","10:57:23","27:29","59.49",,,
"","2025-09-08","10:57:23","27:30","59.54",,,
"","2025-09-08","10:57:23","27:40","59.55",,,
"","2025-09-08","10:57:23","27:51","59.56",,,
"","2025-09-08","10:57:23","28:03","59.563",,,
"","2025-09-08","10:57:23","28:31","59.57",,,
"","2025-09-08","10:57:23","29:03","59.57",,,
"","2025-09-08","10:57:23","29:31","59.57","19.3",,
"","2025-09-08","10:57:23","30:03","59.577",,,
"","2025-09-08","10:57:23","30:10","59.579",,,
"","2025-09-08","10:57:23","30:16","59.58","19.4",,
"","2025-09-08","10:57:23","31:03","59.572",,,
"","2025-09-08","10:57:23","31:16","59.57",,,
"","2025-09-08","10:57:23","31:23","59.74",,,
"","2025-09-08","10:57:23","31:24","61.97",,,
"","2025-09-08","10:57:23","31:25","64.32",,,
"","2025-09-08","10:57:23","31:26","66.46",,,
"","2025-09-08","10:57:23","31:27","68.24",,,
"","2025-09-08","10:57:23","31:28","69.29",,,
"","2025-09-08","10:57:23","31:29","69.5",,,
"","2025-09-08","10:57:23","31:37","69.51",,,
"","2025-09-08","10:57:23","31:40","69.52",,,
"","2025-09-08","10:57:23","32:00","69.53",,,
"","2025-09-08","10:57:23","32:03","69.531",,,
"","2025-09-08","10:57:23","32:46","69.54",,,
"","2025-09-08","10:57:23","33:03","69.54",,,
"","2025-09-08","10:57:23","33:47","69.54",,,
"","2025-09-08","10:57:23","34:03","69.543",,,
"","2025-09-08","10:57:23","34:41","69.55",,,
"","2025-09-08","10:57:23","35:03","69.931",,,
"","2025-09-08","10:57:23","35:10","70.052",,,
"","2025-09-08","10:57:23","35:26","70.33",,,
"","2025-09-08","10:57:23","35:27","72.81",,,
"","2025-09-08","10:57:23","35:28","74.3",,,
"","2025-09-08","10:57:23","35:29","75.6",,,
"","2025-09-08","10:57:23","35:30","76.9",,,
"","2025-09-08","10:57:23","35:31","78.2",,,
"","2025-09-08","10:57:23","35:32","79.16",,,
"","2025-09-08","10:57:23","35:33","79.44",,,
"","2025-09-08","10:57:23","35:34","79.45",,,
"","2025-09-08","10:57:23","35:36","79.46",,,
"","2025-09-08","10:57:23","35:38","79.47",,,
"","2025-09-08","10:57:23","35:44","79.48",,,
"","2025-09-08","10:57:23","35:53","79.49",,,
"","2025-09-08","10:57:23","36:03","79.492",,,
"","2025-09-08","10:57:23","36:43","79.5",,,
"","2025-09-08","10:57:23","37:03","79.5",,,
"","2025-09-08","10:57:23","37:43","79.5",,,
"","2025-09-08","10:57:23","38:03","79.5",,,
"","2025-09-08","10:57:23","38:43","79.5","19.5",,
"","2025-09-08","10:57:23","38:54","79.51",,,
"","2025-09-08","10:57:23","39:03","79.521",,,
"","2025-09-08","10:57:23","39:27","79.55","19.4",,
"","2025-09-08","10:57:23","39:28","81.55",,,
"","2025-09-08","10:57:23","39:29","84.62",,,
"","2025-09-08","10:57:23","39:30","86.57",,,
"","2025-09-08","10:57:23","39:31","87.59",,,
"","2025-09-08","10:57:23","39:32","88.67",,,
"","2025-09-08","10:57:23","39:33","89.35",,,
"","2025-09-08","10:57:23","39:34","89.41",,,
"","2025-09-08","10:57:23","39:37","89.42","19.5",,
"","2025-09-08","10:57:23","39:39","89.43",,,
"","2025-09-08","10:57:23","39:46","89.44",,,
"","2025-09-08","10:57:23","39:58","89.45",,,
"","2025-09-08","10:57:23","40:03","89.451",,,
"","2025-09-08","10:57:23","40:10","89.453",,,
"","2025-09-08","10:57:23","40:36","89.46",,,
"","2025-09-08","10:57:23","41:03","89.46",,,
"","2025-09-08","10:57:23","41:36","89.46",,,
"","2025-09-08","10:57:23","42:03","89.466",,,
"","2025-09-08","10:57:23","42:21","89.47",,,
"","2025-09-08","10:57:23","43:03","89.463",,,
"","2025-09-08","10:57:23","43:21","89.46",,,
"","2025-09-08","10:57:23","43:30","89.95",,,
"","2025-09-08","10:57:23","43:31","93.18",,,
"","2025-09-08","10:57:23","43:32","94.94",,,
"","2025-09-08","10:57:23","43:33","96.38",,,
"","2025-09-08","10:57:23","43:34","97.71",,,
"","2025-09-08","10:57:23","43:35","98.93",,,
"","2025-09-08","10:57:23","43:36","99.35",,,
"","2025-09-08","10:57:23","43:37","99.38",,,
"","2025-09-08","10:57:23","43:39","99.39",,,
"","2025-09-08","10:57:23","43:42","99.4",,,
"","2025-09-08","10:57:23","43:47","99.41",,,
"","2025-09-08","10:57:23","44:03","99.418",,,
"","2025-09-08","10:57:23","44:06","99.42",,,
"","2025-09-08","10:57:23","45:02","99.43",,,
"","2025-09-08","10:57:23","45:03","99.43",,,
"","2025-09-08","10:57:23","45:10","99.43",,,
"","2025-09-08","10:57:23","46:02","99.43",,,
"","2025-09-08","10:57:23","46:03","99.43",,,
"","2025-09-08","10:57:23","47:02","99.43",,,
"","2025-09-08","10:57:23","47:03","99.42",,,
"","2025-09-08","10:57:23","47:32","99.13",,,
"","2025-09-08","10:57:23","47:33","97.35",,,
"","2025-09-08","10:57:23","47:34","94.52",,,
"","2025-09-08","10:57:23","47:35","92.52",,,
"","2025-09-08","10:57:23","47:36","91.01",,,
"","2025-09-08","10:57:23","47:37","90.47",,,
"","2025-09-08","10:57:23","47:39","89.94",,,
"","2025-09-08","10:57:23","47:40","89.57",,,
"","2025-09-08","10:57:23","48:03","89.543",,,
"","2025-09-08","10:57:23","48:40","89.5",,,
"","2025-09-08","10:57:23","49:03","89.5",,,
"","2025-09-08","10:57:23","49:40","89.5",,,
"","2025-09-08","10:57:23","50:03","89.5",,,
"","2025-09-08","10:57:23","50:10","89.5",,,
"","2025-09-08","10:57:23","50:40","89.5",,,
"","2025-09-08","10:57:23","51:03","89.086",,,
"","2025-09-08","10:57:23","51:35","88.51","19.6",,
"","2025-09-08","10:57:23","51:36","86.18",,,
"","2025-09-08","10:57:23","51:37","84.17",,,
"","2025-09-08","10:57:23","51:38","83.6",,,
"","2025-09-08","10:57:23","51:39","83.12",,,
"","2025-09-08","10:57:23","51:40","82.65","19.5",,
"","2025-09-08","10:57:23","51:41","82.18","19.6",,
"","2025-09-08","10:57:23","51:42","81.72",,,
"","2025-09-08","10:57:23","51:43","81.25","19.5",,
"","2025-09-08","10:57:23","51:44","80.78",,,
"","2025-09-08","10:57:23","51:45","80.18",,,
"","2025-09-08","10:57:23","51:46","79.69",,,
"","2025-09-08","10:57:23","52:03","79.653",,,
"","2025-09-08","10:57:23","52:46","79.56","19.6",,
"","2025-09-08","10:57:23","53:03","79.56",,,
"","2025-09-08","10:57:23","53:46","79.56","19.5",,
"","2025-09-08","10:57:23","54:03","79.557",,,
"","2025-09-08","10:57:23","54:46","79.55",,,
"","2025-09-08","10:57:23","55:03","79.411",,,
"","2025-09-08","10:57:23","55:10","79.354",,,
"","2025-09-08","10:57:23","55:36","79.14","19.6",,
"","2025-09-08","10:57:23","55:37","77.6",,,
"","2025-09-08","10:57:23","55:38","74.91",,,
"","2025-09-08","10:57:23","55:39","73.28",,,
"","2025-09-08","10:57:23","55:40","71.99",,,
"","2025-09-08","10:57:23","55:41","70.75",,,
"","2025-09-08","10:57:23","55:42","70.21",,,
"","2025-09-08","10:57:23","55:43","69.87",,,
"","2025-09-08","10:57:23","56:43","69.61",,,
"","2025-09-08","10:57:23","57:03","69.607",,,
"","2025-09-08","10:57:23","57:43","69.6",,,
"","2025-09-08","10:57:23","58:03","69.6",,,
"","2025-09-08","10:57:23","58:43","69.6","19.5",,
"","2025-09-08","10:57:23","59:03","69.2",,,
"","2025-09-08","10:57:23","59:39","68.48","19.6",,
"","2025-09-08","10:57:23","59:40","66.32",,,
"","2025-09-08","10:57:23","59:41","64.11",,,
"","2025-09-08","10:57:23","59:42","62.86",,,
"","2025-09-08","10:57:23","59:43","61.81",,,
"","2025-09-08","10:57:23","59:44","60.77",,,
"","2025-09-08","10:57:23","59:45","60.06",,,
"","2025-09-08","10:57:23","59:46","59.71",,,
"","2025-09-08","10:57:23","60:03","59.693",,,
"","2025-09-08","10:57:23","60:10","59.686",,,
"","2025-09-08","10:57:23","60:46","59.65",,,
"","2025-09-08","10:57:23","61:03","59.647",,,
"","2025-09-08","10:57:23","61:46","59.64",,,
"","2025-09-08","10:57:23","62:03","59.64",,,
"","2025-09-08","10:57:23","62:46","59.64",,,
"","2025-09-08","10:57:23","63:03","59.524",,,
"","2025-09-08","10:57:23","63:40","59.27",,,
"","2025-09-08","10:57:23","63:41","57.88",,,
"","2025-09-08","10:57:23","63:42","55.77",,,
"","2025-09-08","10:57:23","63:43","53.74",,,
"","2025-09-08","10:57:23","63:44","52.58",,,
"","2025-09-08","10:57:23","63:45","51.53",,,
"","2025-09-08","10:57:23","63:46","50.58",,,
"","2025-09-08","10:57:23","63:47","50.24",,,
"","2025-09-08","10:57:23","63:49","49.73",,,
"","2025-09-08","10:57:23","64:03","49.721",,,
"","2025-09-08","10:57:23","64:49","49.69",,,
"","2025-09-08","10:57:23","65:03","49.688",,,
"","2025-09-08","10:57:23","65:10","49.687",,,
"","2025-09-08","10:57:23","65:49","49.68",,,
"","2025-09-08","10:57:23","66:03","49.68",,,
"","2025-09-08","10:57:23","66:49","49.68",,,
"","2025-09-08","10:57:23","67:03","49.478",,,
"","2025-09-08","10:57:23","67:43","48.9",,,
"","2025-09-08","10:57:23","67:44","47.4",,,
"","2025-09-08","10:57:23","67:45","45.22",,,
"","2025-09-08","10:57:23","67:46","43.97",,,
"","2025-09-08","10:57:23","67:47","43.02",,,
"","2025-09-08","10:57:23","67:48","42.07",,,
"","2025-09-08","10:57:23","67:49","41.15",,,
"","2025-09-08","10:57:23","67:50","40.32",,,
"","2025-09-08","10:57:23","67:51","39.89",,,
"","2025-09-08","10:57:23","68:03","39.856",,,
"","2025-09-08","10:57:23","68:51","39.72",,,
"","2025-09-08","10:57:23","69:03","39.72",,,
"","2025-09-08","10:57:23","69:51","39.72",,,
"","2025-09-08","10:57:23","70:03","39.718",,,
"","2025-09-08","10:57:23","70:10","39.717",,,
"","2025-09-08","10:57:23","70:51","39.71",,,
"","2025-09-08","10:57:23","71:03","39.463",,,
"","2025-09-08","10:57:23","71:45","38.6",,,
"","2025-09-08","10:57:23","71:46","36.88",,,
"","2025-09-08","10:57:23","71:47","35.01",,,
"","2025-09-08","10:57:23","71:48","34.01",,,
"","2025-09-08","10:57:23","71:49","33.23",,,
"","2025-09-08","10:57:23","71:50","32.43",,,
"","2025-09-08","10:57:23","71:51","31.68",,,
"","2025-09-08","10:57:23","71:52","30.9",,,
"","2025-09-08","10:57:23","71:53","30.5",,,
"","2025-09-08","10:57:23","71:55","30.15",,,
"","2025-09-08","10:57:23","71:59","29.82",,,
"","2025-09-08","10:57:23","72:03","29.815",,,
"","2025-09-08","10:57:23","72:59","29.75",,,
"","2025-09-08","10:57:23","73:03","29.749",,,
"","2025-09-08","10:57:23","73:59","29.74","19.7",,
"","2025-09-08","10:57:23","74:03","29.739",,,
"","2025-09-08","10:57:23","74:59","29.73","19.6",,
"","2025-09-08","10:57:23","75:03","29.698",,,
"","2025-09-08","10:57:23","75:10","29.641",,,
"","2025-09-08","10:57:23","75:47","29.34",,,
"","2025-09-08","10:57:23","75:48","28.29",,,
"","2025-09-08","10:57:23","75:49","26.67",,,
"","2025-09-08","10:57:23","75:50","25.08",,,
"","2025-09-08","10:57:23","75:51","23.91",,,
"","2025-09-08","10:57:23","75:52","23.12",,,
"","2025-09-08","10:57:23","75:53","22.44",,,
"","2025-09-08","10:57:23","75:54","21.87",,,
"","2025-09-08","10:57:23","75:55","21.35",,,
"","2025-09-08","10:57:23","75:56","20.8",,,
"","2025-09-08","10:57:23","75:57","20.38",,,
"","2025-09-08","10:57:23","76:00","19.97",,,
"","2025-09-08","10:57:23","76:03","19.958",,,
"","2025-09-08","10:57:23","77:00","19.74","19.7",,
"","2025-09-08","10:57:23","77:03","19.74",,,
"","2025-09-08","10:57:23","78:00","19.73","19.6",,
"","2025-09-08","10:57:23","78:03","19.73",,,
"","2025-09-08","10:57:23","79:00","19.73","19.7",,
"","2025-09-08","10:57:23","79:03","19.695",,,
"","2025-09-08","10:57:23","79:49","19.16",,,
"","2025-09-08","10:57:23","79:50","18.11",,,
"","2025-09-08","10:57:23","79:51","16.63",,,
"","2025-09-08","10:57:23","79:52","15.26",,,
"","2025-09-08","10:57:23","79:53","14.7","19.6",,
"","2025-09-08","10:57:23","79:54","14.28","19.7",,
"","2025-09-08","10:57:23","79:55","13.91",,,
"","2025-09-08","10:57:23","79:57","13.56",,,
"","2025-09-08","10:57:23","79:58","13.05",,,
"","2025-09-08","10:57:23","79:59","12.34",,,
"","2025-09-08","10:57:23","80:00","11.59","19.6",,
"","2025-09-08","10:57:23","80:01","10.94","19.7",,
"","2025-09-08","10:57:23","80:02","10.46",,,
"","2025-09-08","10:57:23","80:03","10.11",,,
"","2025-09-08","10:57:23","80:05","9.8",,,
"","2025-09-08","10:57:23","80:10","9.796",,,
"","2025-09-08","10:57:23","81:03","9.752",,,
"","2025-09-08","10:57:23","81:05","9.75",,,
"","2025-09-08","10:57:23","82:03","9.75",,,
"","2025-09-08","10:57:23","82:05","9.75",,,
"","2025-09-08","10:57:23","83:03","9.74",,,
"","2025-09-08","10:57:23","83:05","9.74",,,
"","2025-09-08","10:57:23","83:52","9.19",,,
"","2025-09-08","10:57:23","83:53","8.42",,,
"","2025-09-08","10:57:23","83:54","7.42",,,
"","2025-09-08","10:57:23","83:55","6.3",,,
"","2025-09-08","10:57:23","83:56","5.53",,,
"","2025-09-08","10:57:23","83:57","5.07",,,
"","2025-09-08","10:57:23","83:58","4.72",,,
"","2025-09-08","10:57:23","83:59","4.39",,,
"","2025-09-08","10:57:23","84:00","4.09",,,
"","2025-09-08","10:57:23","84:02","3.39",,,
"","2025-09-08","10:57:23","84:03","2.76",,,
"","2025-09-08","10:57:23","84:04","2.12",,,
"","2025-09-08","10:57:23","84:05","1.73",,,
"","2025-09-08","10:57:23","84:06","1.4",,,
"","2025-09-08","10:57:23","84:08","1.01",,,
"","2025-09-08","10:57:23","85:03","0.909",,,
"","2025-09-08","10:57:23","85:08","0.9",,,
"","2025-09-08","10:57:23","85:10","0.901",,,
"","2025-09-08","10:57:23","86:03","0.918",,,
"","2025-09-08","10:57:23","86:08","0.92",,,
"","2025-09-08","10:57:23","87:03","0.938",,,
"","2025-09-08","10:57:23","87:08","0.94",,,
"","2025-09-08","10:57:23","88:03","0.949",,,
"","2025-09-08","10:57:23","88:08","0.95",,,
"","2025-09-08","10:57:23","89:03","0.959",,,
"","2025-09-08","10:57:23","89:08","0.96",,,
"","2025-09-08","10:57:23","89:43","0.05",,,
